"idp","mqd","biomass","zp","reserutile","troph_r","species","ownership"
760222,0.292323897143336,318.537645678222,440,65.25,5.88895,"Grand érable","Forêts privées et autres - Hors PSG"
741091,0.249507885635992,243.796461136501,676,58.5000038146973,5.56448,"Hêtre","Autres forêts publiques RF"
760259,0.272576720249754,465.222175571765,740,46.8999977111816,2.54494,"Épicéa commun","Forêts privées et autres - Hors PSG"
734838,0.131922566728737,104.318319333699,508,73.5,3.56917,"Épicéa commun","Forêts privées et autres - En PSG"
757003,0.212905878699481,123.483245823257,533,81.2000045776367,5.67193,"Frêne","Forêts privées et autres - Hors PSG"
755526,0.254482987357252,366.632656270792,515,44.4000015258789,1.94693,"Hêtre","Autres forêts publiques RF"
705882,0.143348465975058,169.044475574311,556,7,2.21823,"Chêne rouvre","Autres forêts publiques RF"
778296,0.147240079384833,167.039346114458,425,110.599998474121,2.57336,"Chêne pédonculé","Forêts privées et autres - Hors PSG"
737833,0.0763944014906883,0.802604898865088,689,157.5,4.5161,"Saule","Forêts privées et autres - Hors PSG"
742919,0.0923887829147912,23.2478419437127,572,66.1999969482422,1.16563,"Chêne rouvre","Forêts privées et autres - Hors PSG"
751464,0.279586128301676,456.86573057606,580,52.2000045776367,6.69148,"Frêne","Forêts privées et autres - Hors PSG"
738331,0.242425312001964,167.768258724554,833,35,3.10399,"Sapin pectiné","Forêts domaniales RF"
762234,0.257894767245263,262.176957660547,800,29,2.88788,"Sapin pectiné","Forêts domaniales RF"
739196,0.21225837259334,152.003001836731,844,21.75,2.8232,"Épicéa commun","Forêts domaniales RF"
737514,0.343501604617884,114.548039009826,560,104.400001525879,1.84069,"Hêtre","Autres forêts publiques RF"
773149,0.119905186292694,11.1806953913557,506,87.5,2.76705,"Épicéa commun","Forêts privées et autres - Hors PSG"
768932,0.21347435718636,207.836338906245,534,157.5,2.25121,"Sapin pectiné","Autres forêts publiques RF"
715276,0.215422210246908,206.512129548901,420,124.400001525879,3.06054,"Hêtre","Forêts domaniales RF"
733373,0.245421652956411,240.454885201079,418,37.7999992370605,1.72048,"Sapin pectiné","Forêts domaniales RF"
764025,0.223395546615573,193.751109533044,591,58,1.67717,"Épicéa commun","Forêts privées et autres - Hors PSG"
753013,0.193085437339866,290.541779753002,600,91.3500061035156,6.5,"Hêtre","Autres forêts publiques RF"
737694,0.243889308856727,187.135751399697,367,37.7999992370605,1.85383,"Sapin pectiné","Autres forêts publiques RF"
763608,0.330179208734498,279.613854455162,415,62.9999961853027,1.45191,"Sapin pectiné","Forêts domaniales RF"
706016,0.17784620192769,191.729994489544,406,17.5,0.966366,"Sapin pectiné","Forêts domaniales RF"
779642,0.228888500171046,419.595410811032,671,74.5,1.98617,"Sapin pectiné","Forêts domaniales RF"
736719,0.281674288182869,368.498361631167,683,43.5999984741211,0.729631,"Sapin pectiné","Autres forêts publiques RF"
756853,0.254313217295368,218.737746525808,469,56.6999969482422,1.35209,"Pin sylvestre","Autres forêts publiques RF"
