"idp","biomass","troph_r"
1613685,135.962968713819,2.325833
1602452,243.028316063225,3.8271773
1602158,92.9700902793958,2.9718053
1613024,195.781088809966,1.9448019
1644330,58.0183640831976,6.5285015
1645351,56.9314590913683,4.2444453
1735254,318.003817232738,3.082568
1700718,314.876756159408,2.0663636
1729499,311.618371558013,3.0731905
1737282,444.888530894419,2.5434582
1738160,211.476873381407,1.5840143
1739305,275.441283253781,1.3023347
1713476,202.673332769906,2.2158415
1736085,351.077708711395,3.6736188
1744993,218.327009266793,1.3762019
1748236,161.591332918624,2.2875493
1729635,302.960628189869,1.638583
1752146,166.717370792965,2.4738252
1734957,313.986051601802,1.8211076
1707345,220.613964746811,2.2564068
1705886,271.913223436594,4.2675333
1733334,214.463904086198,1.7559125
1713573,263.526326566854,1.8030933
1720820,71.3606720937187,2.1041906
1746835,134.230789183606,6.5970554
1741015,221.110568052947,2.0229645
1714193,482.909745287247,6.0041065
1726718,130.699957206422,0.93699586
1708309,293.355307667945,2.7664707
1729188,396.464390967886,2.0049536
1711738,357.93893588515,2.9125242
1702966,260.831015536723,3.6208394
1743455,606.583845109883,5.114386
1742217,231.342114886903,4.523118
1725634,320.573722345391,1.5781777
1701616,365.330264616364,3.8457305
1714651,291.337445643908,0.7980852
1752312,117.080876583631,5.519112
1720398,183.036969164751,1.9944876
1729549,95.0898349814352,2.4305174
1733528,28.8891106848101,5.256936
1844088,169.100626290925,2.1319323
1841909,150.720329467228,3.1900423
1850226,186.656684754208,3.4463212
1852481,372.897995496171,1.2921864
1824372,210.655149140809,6.163381
1816361,320.928319969919,2.8241022
1829459,148.262715376016,1.3980985
1845513,33.3872812457219,2.3505101
1826095,347.145515367255,5.1659756
1813033,308.288100099663,2.2147381
1813137,114.959612213001,2.0361755
1805546,37.8936611666529,2.4015634
1840059,214.944119175351,2.6327682
1824482,100.825876197634,2.0213904
1829416,135.679589048214,2.4173148
1828841,176.016572257283,1.6639117
1824953,253.371152963147,2.1289325
1825273,322.88546431754,2.0026908
1801887,510.185825944912,2.4757023
1816710,363.678926696665,1.8370601
1843853,162.936692212525,1.7937895
1851639,40.7008841315066,1.8704712
1839987,241.252914012394,1.8557355
1807684,456.179865296286,4.2842484
1928736,204.750411868589,2.0781558
1910033,349.45193586868,3.2393534
1940116,289.632200912139,2.7720284
1933258,222.310340854246,1.0737143
1954823,181.526753712438,0.80871606
1932482,157.890390127279,1.7446327
1907298,352.197758514322,2.4882019
1911513,102.739532843998,1.2287198
1952510,131.944799047797,1.8960688
1924383,235.692442580732,5.939623
1927017,338.650753249677,1.2079285
1932814,463.994400954429,1.3525181
1914916,280.725470154657,1.6332332
1940975,155.024821186745,1.4065548
1935467,257.961382822771,1.3668981
1908635,152.385879037357,1.3200579
1953511,128.714458741372,1.2567245
1916188,153.292606287973,1.4365596
1914367,357.165360970345,1.736829
574327,120.407967301908,1.62767
272470,184.590840922031,2.639717
675016,210.557931454173,1.10152
545456,177.629812031987,1.28326
418249,214.966252793715,2.60601
676297,114.264276182564,2.54282
262950,199.971928651097,1.91027
516677,63.2835451256262,2.06558
316496,248.857757857077,0.760706
655995,184.78829620858,2.30911
512310,132.092835040855,7.36287
303436,115.73141963691,1.69393
203594,402.165173902252,2.9984
449298,20.5400065984803,1.58353
679350,254.454800432954,2.08317
564281,228.440677159132,1.58709
262000,237.087334018113,2.28889
479037,263.313193447352,2.14193
330737,264.090712122952,1.32265
510746,46.1765346147016,0.770754
662154,121.040279989097,0.994109
430775,1.89158693998806,0.963197
224543,241.793181524614,0.842323
604079,292.618393096898,0.659169
567502,148.382866967829,1.16227
342419,135.559043194216,3.3434
228121,19.7120082004787,1.21943
445668,128.913184160013,1.01787
664710,5.62289282463513,1.23386
568706,108.256983287711,0.9282
103523,124.565290428544,2.39245
117149,43.1970457400343,1.92548
9355,206.931939927444,2.04672
43459,109.38218251166,2.10441
153921,108.786219922438,1.00272
248482,99.5389891112043,1.69841
426983,41.8341527698688,1.67535
320826,31.9184305545124,1.07644
615007,32.612383882576,1.38153
537546,180.636651234061,0.763401
259501,252.986980135342,1.12234
455065,114.236451151989,1.34174
629195,158.548500446904,1.16067
368465,231.148106270598,1.02623
122764,321.665166009756,1.63193
31356,1.06252872802191,1.33784
16571,180.20174584513,0.771893
102357,331.434891814902,0.785219
34260,231.654520295864,0.924315
542373,19.6140179816794,1.50307
655989,225.62102223557,1.56941
511167,366.92451498376,1.25563
453183,346.921995318841,3.49594
335697,108.69944439736,1.91437
280230,55.0089099889767,0.994747
680133,127.32940247209,3.64369
562892,241.240930141781,3.38634
636238,95.6424085431151,1.22399
551677,93.6577388720259,1.17595
257415,70.807694052515,1.62907
444665,348.278678543546,1.50558
202992,216.653760655161,1.191
478669,13.4548312142315,1.17672
313009,256.283866221336,1.56948
532839,243.101433897084,2.56879
533324,281.474226324936,1.77823
640588,214.41157476275,1.26941
221831,248.202979421251,2.80914
342926,220.51454298628,6.02857
378545,224.170274578877,1.5806
569566,57.3814699971366,5.6495
650827,200.848962551005,0.58376
334504,420.12793228121,2.51532
228642,146.595478489561,1.41241
655422,170.390797022944,5.67371
352898,204.81841425627,2.54477
462488,256.421832592105,4.38415
274280,324.299458174171,2.42174
379093,336.030371020614,1.27279
244160,266.716247693446,2.06937
464413,184.34239726257,2.27372
509505,203.470854948299,2.27853
322314,351.511928070989,2.07329
258022,106.686234844796,1.94545
379677,53.473459197305,0.789836
557880,131.204911260324,3.4077
673158,198.33425365075,1.52085
506685,158.38924084846,1.31723
227635,354.776309799324,4.54914
436944,251.38701542559,1.54612
342911,493.034114227558,1.69113
268361,271.040487966531,1.69817
405289,86.0468040640026,1.75359
639420,202.141058288131,1.31005
280270,154.521841931902,1.69333
471898,437.78611151619,2.02121
375013,426.043761226109,0.902729
260960,134.675996014648,1.55848
616539,158.318068051528,3.54467
632298,354.966253305404,0.684801
467230,52.05764173044,2.00972
241434,90.7247645477907,1.55912
435557,346.387030153323,2.44207
314625,168.614144505539,1.06436
575756,170.455052661034,1.74274
613719,32.5930151701541,1.46725
557455,294.585502597358,2.64964
237718,179.370677453025,3.2047
463707,288.530183066734,2.74972
367623,202.072400697165,0.818568
238561,294.806747615199,1.08481
426661,234.868975192436,1.73793
626748,3.69296655827672,2.15138
680722,103.943262210221,3.02672
256896,173.798920334214,1.26138
439048,270.779661581072,1.91207
334612,228.465426890535,2.31385
545673,138.287297678209,1.48809
602120,355.354752688708,6.5
