"idp","pro_psg","biom","xl","yl","gr"
1024336,"privé - psg",67.6656168814086,570200,2291600,"570200 2291600"
1029501,"privé - psg",72.7476916385384,568200,2285600,"568200 2285600"
1015357,"privé - psg",215.173179452813,564200,2273600,"564200 2273600"
1019401,"privé - psg",265.769098179899,560200,2261600,"560200 2261600"
1024622,"privé - psg",163.492905735168,574200,2293600,"574200 2293600"
1011201,"privé - psg",147.49672153218,572200,2287600,"572200 2287600"
1004607,"privé - psg",368.692696219451,570200,2281600,"570200 2281600"
1003402,"privé - sans psg",530.442017401802,566200,2269600,"566200 2269600"
1008370,"privé - psg",234.955076059268,564200,2263600,"564200 2263600"
1007563,"privé - psg",192.56241666596,562200,2257600,"562200 2257600"
1021612,"privé - psg",204.132564405298,572200,2277600,"572200 2277600"
1001737,"privé - sans psg",128.073930375543,564200,2253600,"564200 2253600"
1015046,"publics - domaniales",88.6241708527779,582200,2297600,"582200 2297600"
1027225,"privé - psg",65.7252143130563,580200,2291600,"580200 2291600"
1019453,"privé - sans psg",231.168523234104,578200,2285600,"578200 2285600"
1006596,"privé - psg",106.015338166556,572200,2267600,"572200 2267600"
1022579,"privé - psg",68.1132610588202,570200,2261600,"570200 2261600"
1002518,"privé - psg",157.63286852989,584200,2293600,"584200 2293600"
1006368,"privé - psg",129.100579874122,580200,2281600,"580200 2281600"
1015035,"privé - psg",251.079178012535,578200,2275600,"578200 2275600"
1015066,"privé - psg",88.2582188104666,576200,2269600,"576200 2269600"
1023068,"privé - psg",173.80132716693,572200,2257600,"572200 2257600"
1022434,"privé - sans psg",24.1746114628484,588200,2295600,"588200 2295600"
1006213,"privé - psg",614.335414222614,584200,2283600,"584200 2283600"
1004085,"privé - psg",156.292822649607,582200,2277600,"582200 2277600"
1022083,"privé - sans psg",75.0014171244872,578200,2265600,"578200 2265600"
1025923,"privé - psg",345.797895751341,576200,2259600,"576200 2259600"
1030441,"privé - psg",118.951920810181,584200,2273600,"584200 2273600"
1006137,"privé - psg",77.3820245775628,588200,2275600,"588200 2275600"
1027586,"privé - psg",141.290939432811,586200,2269600,"586200 2269600"
1016271,"privé - psg",39.3766983051691,582200,2257600,"582200 2257600"
1006023,"privé - psg",320.729495530573,584200,2253600,"584200 2253600"
1011707,"privé - sans psg",142.648244511506,714200,2133600,"714200 2133600"
1030480,"privé - sans psg",17.5148290193372,708200,2105600,"708200 2105600"
1018218,"privé - psg",162.172089890887,716200,2119600,"716200 2119600"
1010426,"privé - sans psg",369.307468881309,710200,2101600,"710200 2101600"
1028511,"privé - psg",283.232927488627,708200,2095600,"708200 2095600"
1003986,"privé - sans psg",366.073850576692,720200,2121600,"720200 2121600"
1012858,"publis - communales",114.715070020912,716200,2109600,"716200 2109600"
1011540,"privé - psg",305.239324515243,720200,2111600,"720200 2111600"
1007910,"privé - psg",381.882739362667,732200,2127600,"732200 2127600"
1028762,"privé - sans psg",410.866456690958,720200,2091600,"720200 2091600"
1027092,"privé - sans psg",426.966556577834,716200,2079600,"716200 2079600"
1002664,"privé - sans psg",140.488458034758,728200,2105600,"728200 2105600"
1030980,"privé - sans psg",185.682507619172,726200,2089600,"726200 2089600"
1018336,"privé - sans psg",31.1733061884278,724200,2083600,"724200 2083600"
1023764,"privé - sans psg",459.844858807891,722200,2077600,"722200 2077600"
1006998,"privé - sans psg",120.214326995625,732200,2097600,"732200 2097600"
1014694,"privé - sans psg",156.308639612458,728200,2085600,"728200 2085600"
1018591,"privé - sans psg",59.5707666454874,748200,2125600,"748200 2125600"
1017505,"privé - sans psg",98.9617264107292,728200,2065600,"728200 2065600"
1015745,"privé - sans psg",185.289613495067,742200,2097600,"742200 2097600"
1020306,"publis - communales",50.8139830764148,736200,2079600,"736200 2079600"
