"idp","pro_psg","ser_86","biom"
1006046,"publics - domaniales","I12",374.951584962392
1009970,"privé - sans psg","B42",215.352897522213
1007636,"privé - psg","B43",19.899889591539
1021919,"privé - psg","B52",343.250324853696
1011834,"privé - psg","B52",99.2722060156672
1020387,"publis - communales","B52",24.8375453129555
1014714,"privé - sans psg","B43",17.0950609206084
1007571,"privé - sans psg","B52",110.257041362671
1014247,"privé - sans psg","B52",249.083270946882
1017957,"publis - communales","B51",183.214013286859
1030033,"privé - sans psg","B43",1.51001073823984
1003253,"privé - sans psg","B43",160.399243475797
1025845,"privé - sans psg","B52",12.0558521054181
1016542,"privé - psg","B51",188.081605089999
