"idp","rich","ser_86","pro_psg","elev","tcar","esspre_fr"
1022006,11,"J22","privé - sans psg",107,9,"F"
1002848,13,"B91","privé - psg",132,10,"F"
1017081,25,"G60","privé - sans psg",751,9,"R"
1015595,16,"C20","publis - communales",348,8,"F"
1011754,31,"G22","privé - sans psg",849,8,"F"
1002941,15,"F15","privé - sans psg",195,9,"F"
1028399,19,"J23","privé - sans psg",371,6,"R"
1000478,15,"B62","publics - domaniales",117,8,"R"
1021783,24,"J23","publis - communales",495,7,"F"
1017868,8,"I13","publis - communales",528,7,"F"
1005430,21,"B42","privé - psg",201,9,"F"
1024470,31,"C20","publis - communales",315,8,"F"
1027563,23,"B33","privé - sans psg",151,10,"F"
1000993,28,"I22","publis - communales",2004,7,"R"
1025075,39,"K11","privé - sans psg",333,3,"F"
1009712,23,"C30","privé - sans psg",204,10,"F"
1028306,59,"H41","publis - communales",1280,8,"R"
1031325,10,"B61","privé - sans psg",83,10,"F"
1008661,7,"F21","privé - psg",43,6,"R"
1026694,41,"C20","privé - psg",336,9,"R"
1025238,14,"F22","privé - sans psg",14,6,"R"
1011851,18,"F23","privé - sans psg",88,8,"F"
1013215,41,"G60","privé - sans psg",983,8,"R"
1001785,28,"G60","privé - sans psg",572,7,"F"
1025363,25,"B42","privé - psg",201,9,"F"
1004872,15,"H30","privé - sans psg",853,6,"F"
1020135,29,"G13","privé - sans psg",458,9,"F"
1021363,26,"C20","publics - domaniales",242,7,"F"
1026206,17,"A11","privé - sans psg",129,10,"F"
1011378,62,"E20","publis - communales",699,8,"R"
1008910,12,"F21","privé - psg",122,5,"R"
1004467,24,"B92","privé - sans psg",218,9,"F"
1016695,26,"H30","publics - domaniales",822,8,"R"
1024580,16,"B62","privé - sans psg",100,3,"F"
1017062,11,"F21","privé - psg",22,5,"R"
1002289,8,"D12","publis - communales",377,8,"F"
1015572,35,"J10","privé - sans psg",139,6,"F"
1008307,47,"H10","publis - communales",1444,3,"F"
1029335,47,"H10","privé - sans psg",1197,9,"R"
1009503,10,"F21","privé - psg",124,5,"R"
1008979,42,"I12","privé - sans psg",479,9,"R"
1013566,11,"D12","publis - communales",321,8,"F"
1010513,37,"C11","publis - communales",225,7,"R"
1001606,21,"C11","publis - communales",218,10,"F"
1020431,30,"B70","privé - sans psg",97,10,"F"
1027165,17,"B62","privé - psg",127,9,"F"
1015872,9,"A11","privé - sans psg",135,10,"F"
1019176,41,"K11","privé - sans psg",91,5,"F"
1004626,20,"B70","privé - psg",90,9,"F"
1020686,11,"A30","privé - sans psg",13,0,"F"
1030831,35,"C20","publis - communales",265,8,"R"
1017968,16,"C51","privé - sans psg",187,2,"F"
1023573,13,"C20","privé - psg",223,10,"F"
1012863,7,"D11","publis - communales",531,9,"F"
